commit_hash,epoch,timestamp,date,year,month,day,author,file,churn_count,dir_1,dir_2,dir_3,dir_4
d7950ef,1584634972,2020-03-19T16:22:52,2020-03-19,2020,3,19,"Bill Franklin",.gitignore,29,,,,
d7950ef,1584634972,2020-03-19T16:22:52,2020-03-19,2020,3,19,"Bill Franklin",.rspec,1,,,,
d7950ef,1584634972,2020-03-19T16:22:52,2020-03-19,2020,3,19,"Bill Franklin",.ruby-version,1,,,,
d7950ef,1584634972,2020-03-19T16:22:52,2020-03-19,2020,3,19,"Bill Franklin",Gemfile,29,,,,
d7950ef,1584634972,2020-03-19T16:22:52,2020-03-19,2020,3,19,"Bill Franklin",Gemfile.lock,299,,,,
d7950ef,1584634972,2020-03-19T16:22:52,2020-03-19,2020,3,19,"Bill Franklin",Procfile,1,,,,
d7950ef,1584634972,2020-03-19T16:22:52,2020-03-19,2020,3,19,"Bill Franklin",README.md,22,,,,
d7950ef,1584634972,2020-03-19T16:22:52,2020-03-19,2020,3,19,"Bill Franklin",Rakefile,11,,,,
d7950ef,1584634972,2020-03-19T16:22:52,2020-03-19,2020,3,19,"Bill Franklin",app/assets/config/manifest.js,2,app,assets,config,
d7950ef,1584634972,2020-03-19T16:22:52,2020-03-19,2020,3,19,"Bill Franklin",app/assets/images/.keep,0,app,assets,images,
d7950ef,1584634972,2020-03-19T16:22:52,2020-03-19,2020,3,19,"Bill Franklin",app/assets/stylesheets/application.css,15,app,assets,stylesheets,
d7950ef,1584634972,2020-03-19T16:22:52,2020-03-19,2020,3,19,"Bill Franklin",app/controllers/application_controller.rb,4,app,controllers,,
d7950ef,1584634972,2020-03-19T16:22:52,2020-03-19,2020,3,19,"Bill Franklin",app/controllers/concerns/.keep,0,app,controllers,concerns,
d7950ef,1584634972,2020-03-19T16:22:52,2020-03-19,2020,3,19,"Bill Franklin",app/helpers/application_helper.rb,4,app,helpers,,
d7950ef,1584634972,2020-03-19T16:22:52,2020-03-19,2020,3,19,"Bill Franklin",app/jobs/application_job.rb,9,app,jobs,,
d7950ef,1584634972,2020-03-19T16:22:52,2020-03-19,2020,3,19,"Bill Franklin",app/models/application_record.rb,5,app,models,,
d7950ef,1584634972,2020-03-19T16:22:52,2020-03-19,2020,3,19,"Bill Franklin",app/models/concerns/.keep,0,app,models,concerns,
d7950ef,1584634972,2020-03-19T16:22:52,2020-03-19,2020,3,19,"Bill Franklin",app/views/layouts/application.html.erb,14,app,views,layouts,
d7950ef,1584634972,2020-03-19T16:22:52,2020-03-19,2020,3,19,"Bill Franklin",bin/rails,6,bin,,,
d7950ef,1584634972,2020-03-19T16:22:52,2020-03-19,2020,3,19,"Bill Franklin",bin/rake,6,bin,,,
d7950ef,1584634972,2020-03-19T16:22:52,2020-03-19,2020,3,19,"Bill Franklin",bin/setup,35,bin,,,
d7950ef,1584634972,2020-03-19T16:22:52,2020-03-19,2020,3,19,"Bill Franklin",config.ru,7,,,,
d7950ef,1584634972,2020-03-19T16:22:52,2020-03-19,2020,3,19,"Bill Franklin",config/application.rb,38,config,,,
d7950ef,1584634972,2020-03-19T16:22:52,2020-03-19,2020,3,19,"Bill Franklin",config/boot.rb,6,config,,,
d7950ef,1584634972,2020-03-19T16:22:52,2020-03-19,2020,3,19,"Bill Franklin",config/database.yml,20,config,,,
d7950ef,1584634972,2020-03-19T16:22:52,2020-03-19,2020,3,19,"Bill Franklin",config/environment.rb,7,config,,,
d7950ef,1584634972,2020-03-19T16:22:52,2020-03-19,2020,3,19,"Bill Franklin",config/environments/development.rb,57,config,environments,,
d7950ef,1584634972,2020-03-19T16:22:52,2020-03-19,2020,3,19,"Bill Franklin",config/environments/production.rb,107,config,environments,,
d7950ef,1584634972,2020-03-19T16:22:52,2020-03-19,2020,3,19,"Bill Franklin",config/environments/test.rb,41,config,environments,,
d7950ef,1584634972,2020-03-19T16:22:52,2020-03-19,2020,3,19,"Bill Franklin",config/initializers/application_controller_renderer.rb,9,config,initializers,,
d7950ef,1584634972,2020-03-19T16:22:52,2020-03-19,2020,3,19,"Bill Franklin",config/initializers/assets.rb,14,config,initializers,,
d7950ef,1584634972,2020-03-19T16:22:52,2020-03-19,2020,3,19,"Bill Franklin",config/initializers/backtrace_silencers.rb,10,config,initializers,,
d7950ef,1584634972,2020-03-19T16:22:52,2020-03-19,2020,3,19,"Bill Franklin",config/initializers/content_security_policy.rb,33,config,initializers,,
d7950ef,1584634972,2020-03-19T16:22:52,2020-03-19,2020,3,19,"Bill Franklin",config/initializers/cookies_serializer.rb,7,config,initializers,,
